범주,영화명,연도,국적,매출액,관객수,스크린수,장르
전체,택시운전사,2017,한국,95853645649,12186327,1906,드라마
국산,택시운전사,2017,한국,95853645649,12186327,1906,드라마
전체,신과함께-죄와 벌,2017,한국,68350496432,8539495,1912,드라마
국산,신과함께-죄와 벌,2017,한국,68350496432,8539495,1912,드라마
전체,공조,2017,한국,63783051326,7817618,1392,액션
국산,공조,2017,한국,63783051326,7817618,1392,액션
전체,스파이더맨: 홈 커밍,2017,해외,59125813820,7258678,1965,액션
전체,범죄도시,2017,한국,56318014149,6879841,1315,범죄
국산,범죄도시,2017,한국,56318014149,6879841,1315,범죄
전체,범죄도시,2017,한국,56318014149,6879841,1315,액션
국산,범죄도시,2017,한국,56318014149,6879841,1315,액션
전체,군함도,2017,한국,50510565168,6592151,2027,액션
국산,군함도,2017,한국,50510565168,6592151,2027,액션
전체,군함도,2017,한국,50510565168,6592151,2027,드라마
국산,군함도,2017,한국,50510565168,6592151,2027,드라마
전체,더 킹,2017,한국,43488814535,5317693,1310,범죄
국산,더 킹,2017,한국,43488814535,5317693,1310,범죄
전체,더 킹,2017,한국,43488814535,5317693,1310,드라마
전체,미녀와 야수,2017,해외,42133751579,5138328,1627,멜로/로맨스
전체,킹스맨: 골든 서클,2017,해외,40987484736,4945484,1687,코미디
전체,꾼,2017,한국,31312029795,4018035,1314,범죄
국산,꾼,2017,한국,31312029795,4018035,1314,범죄
전체,남한산성,2017,한국,31225083792,3849087,1229,사극
국산,남한산성,2017,한국,31225083792,3849087,1229,사극
전체,분노의 질주: 더 익스트림,2017,해외,29981156348,3653238,1469,범죄
전체,분노의 질주: 더 익스트림,2017,해외,29981156348,3653238,1469,스릴러
전체,너의 이름은.,2017,해외,29251793156,3637608,947,멜로/로맨스
전체,너의 이름은.,2017,해외,29251793156,3637608,947,애니메이션
전체,슈퍼배드 3,2017,해외,24217091019,3324874,1057,애니메이션
전체,아이 캔 스피크,2017,한국,25526451186,3279296,1140,코미디
국산,아이 캔 스피크,2017,한국,25526451186,3279296,1140,코미디
전체,캐리비안의 해적: 죽은 자는 말이 없다,2017,해외,24975495122,3049894,1357,코미디
전체,덩케르크,2017,해외,24550541348,2788732,1252,스릴러
전체,살인자의 기억법,2017,한국,21375287492,2658589,1064,스릴러
국산,살인자의 기억법,2017,한국,21375287492,2658589,1064,스릴러
전체,보안관,2017,한국,20844488409,2588628,1091,코미디
국산,보안관,2017,한국,20844488409,2588628,1091,코미디
전체,보스 베이비,2017,해외,18936306704,2452245,1116,애니메이션
전체,모아나,2017,해외,18056417307,2310206,953,애니메이션
전체,겟 아웃,2017,해외,17431830075,2138174,945,스릴러
전체,겟 아웃,2017,해외,17431830075,2138174,945,공포(호러)
전체,겟 아웃,2017,해외,17431830075,2138174,945,미스터리
전체,애나벨 : 인형의 주인,2017,해외,15527492238,1934270,1006,공포(호러)
국산,임금님의 사건수첩,2017,한국,12651193723,1635003,1054,코미디
국산,기억의 밤,2017,한국,10646654660,1386611,759,스릴러
전체,기억의 밤,2017,한국,10646654660,1386611,759,미스터리
국산,기억의 밤,2017,한국,10646654660,1386611,759,미스터리
전체,해피 데스데이,2017,해외,11004455402,1382650,714,공포(호러)
전체,해피 데스데이,2017,해외,11004455402,1382650,714,미스터리
전체,신과함께-인과 연,2018,한국,102666146909,12274996,2235,드라마
국산,신과함께-인과 연,2018,한국,102666146909,12274996,2235,드라마
전체,어벤져스: 인피니티 워,2018,해외,99926399769,11212710,2553,액션
전체,보헤미안 랩소디,2018,해외,80010440345,9224582,1179,드라마
전체,미션 임파서블: 폴아웃,2018,해외,55888375112,6584915,1957,스릴러
전체,미션 임파서블: 폴아웃,2018,해외,55888375112,6584915,1957,액션
전체,신과함께-죄와 벌,2018,한국,47355583705,5872007,1644,드라마
국산,신과함께-죄와 벌,2018,한국,47355583705,5872007,1644,드라마
전체,쥬라기 월드: 폴른 킹덤,2018,해외,49770711037,5661128,1972,액션
전체,앤트맨과 와스프,2018,해외,47468053685,5448134,1775,액션
전체,안시성,2018,한국,46335334026,5440186,1540,사극
국산,안시성,2018,한국,46335334026,5440186,1540,사극
국산,안시성,2018,한국,46335334026,5440186,1540,액션
전체,블랙 팬서,2018,해외,45885123957,5399227,1620,드라마
전체,완벽한 타인,2018,한국,44350807074,5293435,1325,코미디
국산,완벽한 타인,2018,한국,44350807074,5293435,1325,코미디
국산,완벽한 타인,2018,한국,44350807074,5293435,1325,드라마
전체,독전,2018,한국,43485551113,5063684,1532,범죄
국산,독전,2018,한국,43485551113,5063684,1532,범죄
국산,독전,2018,한국,43485551113,5063684,1532,액션
전체,베놈,2018,해외,34100211207,3888096,1308,스릴러
전체,암수살인,2018,한국,32995138548,3789321,1177,범죄
국산,암수살인,2018,한국,32995138548,3789321,1177,범죄
전체,데드풀 2,2018,해외,34185664639,3784602,1576,코미디
전체,코코,2018,해외,27685479440,3510017,1177,애니메이션
전체,그것만이 내 세상,2018,한국,27450805382,3419339,956,코미디
