범주,연도,순위,영화명,매출액,관객수,스크린수
전체,2017,1,택시운전사,95853645649,12186327,184075
전체,2017,2,신과함께-죄와 벌,68350496432,8539495,91301
전체,2017,3,공조,63783051326,7817618,142989
전체,2017,4,스파이더맨: 홈 커밍,59125813820,7258678,164448
전체,2017,5,범죄도시,56318014149,6879841,149334
전체,2017,6,군함도,50510565168,6592151,108775
전체,2017,7,청년경찰,44381150516,5653270,118544
전체,2017,8,더 킹,43488814535,5317693,107983
전체,2017,9,미녀와 야수,42133751579,5138328,140561
전체,2017,10,킹스맨: 골든 서클,40987484736,4945484,95922
전체,2017,11,토르: 라그나로크,39227691395,4853778,137423
전체,2017,12,꾼,31312029795,4018035,117398
전체,2017,13,강철비,31994897566,4014293,66760
전체,2017,14,남한산성,31225083792,3849087,71101
전체,2017,15,미이라,30504689978,3689325,105228
전체,2017,16,분노의 질주: 더 익스트림,29981156348,3653238,113241
전체,2017,17,너의 이름은.,29251793156,3637608,82978
전체,2017,18,슈퍼배드 3,24217091019,3324874,59388
전체,2017,19,아이 캔 스피크,25526451186,3279296,93012
전체,2017,20,캐리비안의 해적: 죽은 자는 말이 없다,24975495122,3049894,85225
전체,2017,21,프리즌,23790276987,2931897,89024
전체,2017,22,덩케르크,24550541348,2788732,65906
전체,2017,23,가디언즈 오브 갤럭시 VOL. 2,23452686686,2735721,63789
전체,2017,24,살인자의 기억법,21375287492,2658589,88686
전체,2017,25,트랜스포머: 최후의 기사,21501959228,2614601,87234
국산,2017,1,택시운전사,95853645649,12186327,184075
국산,2017,2,신과함께-죄와 벌,68350496432,8539495,91301
국산,2017,3,공조,63783051326,7817618,142989
국산,2017,4,범죄도시,56318014149,6879841,149334
국산,2017,5,군함도,50510565168,6592151,108775
국산,2017,6,청년경찰,44381150516,5653270,118544
국산,2017,7,더 킹,43488814535,5317693,107983
국산,2017,8,꾼,31312029795,4018035,117398
국산,2017,9,강철비,31994897566,4014293,66760
국산,2017,10,남한산성,31225083792,3849087,71101
국산,2017,11,아이 캔 스피크,25526451186,3279296,93012
국산,2017,12,프리즌,23790276987,2931897,89024
국산,2017,13,살인자의 기억법,21375287492,2658589,88686
국산,2017,14,보안관,20844488409,2588628,63709
국산,2017,15,조작된 도시,20143992587,2515501,62241
국산,2017,16,재심,19266319637,2421197,68402
국산,2017,17,박열,18093639795,2359206,78499
국산,2017,18,마스터,18283595800,2215266,56141
국산,2017,19,1987,15254004037,1942077,27619
국산,2017,20,노무현입니다,14556517612,1855149,61327
국산,2017,21,임금님의 사건수첩,12651193723,1635003,53005
국산,2017,22,부라더,11783109998,1492903,54975
국산,2017,23,기억의 밤,10646654660,1386611,52847
국산,2017,24,브이아이피,10956621835,1373316,44650
국산,2017,25,특별시민,10494768945,1362634,46377
전체,2018,1,신과함께-인과 연,102666146909,12274996,179981
전체,2018,2,어벤져스: 인피니티 워,99926399769,11212710,240501
전체,2018,3,보헤미안 랩소디,80010440345,9224582,204537
전체,2018,4,미션 임파서블: 폴아웃,55888375112,6584915,101374
전체,2018,5,신과함께-죄와 벌,47355583705,5872007,121961
전체,2018,6,쥬라기 월드: 폴른 킹덤,49770711037,5661128,144779
전체,2018,7,앤트맨과 와스프,47468053685,5448134,148244
전체,2018,8,안시성,46335334026,5440186,110439
전체,2018,9,블랙 팬서,45885123957,5399227,119170
전체,2018,10,완벽한 타인,44350807074,5293435,143055
전체,2018,11,1987,42915772108,5290310,110607
전체,2018,12,독전,43485551113,5063684,140007
전체,2018,13,공작,42788851176,4974520,99001
전체,2018,14,베놈,34100211207,3888096,116149
전체,2018,15,암수살인,32995138548,3789321,126127
전체,2018,16,데드풀 2,34185664639,3784602,113288
전체,2018,17,국가부도의 날,30845862137,3747952,100804
전체,2018,18,코코,27685479440,3510017,85925
전체,2018,19,아쿠아맨,30454292381,3491857,54505
전체,2018,20,그것만이 내 세상,27450805382,3419339,95431
전체,2018,21,마녀,27242029463,3189091,90843
전체,2018,22,탐정: 리턴즈,26909459678,3152872,107907
전체,2018,23,인크레더블 2,24554683588,3033052,70934
전체,2018,24,서치,25283364845,2949944,95758
전체,2018,25,너의 결혼식,23676244369,2820969,98193
국산,2018,1,신과함께-인과 연,102666146909,12274996,179981
국산,2018,2,신과함께-죄와 벌,47355583705,5872007,121961
국산,2018,3,안시성,46335334026,5440186,110439
국산,2018,4,완벽한 타인,44350807074,5293435,143055
국산,2018,5,1987,42915772108,5290310,110607
국산,2018,6,독전,43485551113,5063684,140007
국산,2018,7,공작,42788851176,4974520,99001
국산,2018,8,암수살인,32995138548,3789321,126127
국산,2018,9,국가부도의 날,30845862137,3747952,100804
국산,2018,10,그것만이 내 세상,27450805382,3419339,95431
국산,2018,11,마녀,27242029463,3189091,90843
국산,2018,12,탐정: 리턴즈,26909459678,3152872,107907
국산,2018,13,너의 결혼식,23676244369,2820969,98193
국산,2018,14,곤지암,21442194144,2675575,88477
국산,2018,15,지금 만나러 갑니다,20800916128,2602273,97482
국산,2018,16,목격자,21737061097,2524720,71403
국산,2018,17,조선명탐정: 흡혈괴마의 비밀,19822789764,2444136,74953
국산,2018,18,명당,17900775524,2087474,58450
국산,2018,19,협상,17032133166,1967721,57926
국산,2018,20,마약왕,15784724552,1813594,41658
국산,2018,21,창궐,13275772490,1599290,60687
국산,2018,22,성난황소,13236490737,1593386,48932
국산,2018,23,도어락,12792097886,1559616,53732
국산,2018,24,리틀 포레스트,11929202185,1506269,68414
국산,2018,25,골든슬럼버,11412768798,1387508,42991
전체,2019,1,극한직업,139651845516,16265618,292584
전체,2019,2,어벤져스: 엔드게임,122181161160,13934399,241979
전체,2019,3,겨울왕국 2,111596248720,13369064,282557
전체,2019,4,알라딘,106955138359,12552283,266469
전체,2019,5,기생충,85883963645,10085275,192855
전체,2019,6,엑시트,79232012162,9426011,202223
전체,2019,7,스파이더맨: 파 프롬 홈,69010000100,8021145,180474
전체,2019,8,백두산,52905789770,6290502,99915
전체,2019,9,캡틴 마블,51507488723,5802810,186382
전체,2019,10,조커,45381075450,5247874,147380
전체,2019,11,봉오동 전투,40588648538,4787538,107030
전체,2019,12,라이온 킹,41519457430,4743264,126496
