연도,장르,온라인_이용건수,온라인_점유율
2017,드라마,9910153,15.9
2017,액션,15925170,25.6
2017,사극,835533,1.3
2017,코미디,3808960,6.1
2017,범죄,6241621,10.0
2017,멜로/로맨스,4281614,6.9
2017,공포(호러),1674240,2.7
2017,스릴러,2219642,3.6
2017,애니메이션,9483980,15.3
2017,미스터리,1410266,2.3
2018,드라마,11593050,16.6
2018,액션,18411786,26.4
2018,사극,2382996,3.4
2018,코미디,4398142,6.3
2018,범죄,5820535,8.3
2018,멜로/로맨스,4619572,6.6
2018,공포(호러),2405381,3.4
2018,스릴러,2268911,3.3
2018,애니메이션,8382047,12.0
2018,미스터리,1956359,2.8
2019,드라마,11549540,17.9
2019,액션,14942162,23.2
2019,사극,1578017,2.4
2019,코미디,6055512,9.4
2019,범죄,7123971,11.0
2019,멜로/로맨스,3894537,6.0
2019,공포(호러),2193730,3.4
2019,스릴러,1780955,2.8
2019,애니메이션,7893855,12.2
2019,미스터리,1367189,2.1
2023,드라마,2896134,14.3
2023,액션,5515684,27.2
2023,사극,83332,0.4
2023,코미디,1384422,6.8
2023,범죄,2350575,11.6
2023,멜로/로맨스,845706,4.2
2023,공포(호러),510588,2.5
2023,스릴러,931766,4.6
2023,애니메이션,3152983,15.5
2023,미스터리,311799,1.5
2024,드라마,2610103,13.9
2024,액션,5169695,27.6
2024,사극,369962,2.0
2024,코미디,1244942,6.6
2024,범죄,1129638,6.0
2024,멜로/로맨스,582337,3.1
2024,공포(호러),457524,2.4
2024,스릴러,601187,3.2
2024,애니메이션,2787924,14.9
2024,미스터리,1459683,7.8
2025,드라마,2198746,17.7
2025,액션,2744385,22.1
2025,사극,42981,0.3
2025,코미디,1234206,9.9
2025,범죄,620264,5.0
2025,멜로/로맨스,512756,4.1
2025,공포(호러),448264,3.6
2025,스릴러,572177,4.6
2025,애니메이션,1621267,13.1
2025,미스터리,462109,3.7
